Year,Team,Conf,AdjEM,AdjO,AdjD,AdjT,SOSEM,SOSO,SOSD
2023,Houston,Amer,+29.72,112.8,83.1,62.5,-0.65,102.9,103.5
2023,Connecticut,BE,+28.71,115.9,87.2,68.4,+2.43,102.5,100.0
2023,Tennessee,SEC,+28.37,110.9,82.5,68.4,-2.16,100.7,102.9
2023,Texas,B12,+27.45,113.6,86.2,68.6,-0.41,103.0,103.4
2023,Purdue,B10,+25.91,118.3,92.4,66.1,+6.04,105.8,99.8
2023,Kentucky,SEC,+25.66,113.1,87.4,69.8,-0.86,103.9,104.8
2023,UCLA,P12,+24.55,116.0,91.4,68.4,+3.47,104.7,101.3
2023,Virginia,ACC,+24.31,114.2,89.9,60.0,+2.72,103.5,100.8
2023,Gonzaga,WCC,+23.64,116.7,93.0,70.3,+13.35,109.4,96.0
2023,Indiana,B10,+23.18,112.3,89.1,69.3,-2.84,101.2,104.1
2023,Kansas,B12,+22.65,112.8,90.1,68.5,+4.32,103.1,98.8
2023,Illinois,B10,+22.58,112.0,89.4,72.1,+3.46,102.9,99.4
2023,Duke,ACC,+22.52,113.5,90.9,65.9,+5.40,106.6,101.2
2023,Alabama,SEC,+22.31,112.8,90.4,71.6,+5.99,105.8,99.8
2023,Auburn,SEC,+22.01,109.7,87.7,69.0,-0.05,101.8,101.9
2023,Baylor,B12,+21.86,116.6,94.7,70.7,+2.86,104.7,101.8
2023,Arkansas,SEC,+21.58,109.6,88.0,72.2,-1.10,100.3,101.4
2023,Arizona,P12,+21.54,117.4,95.9,75.8,+3.45,102.8,99.4
2023,Maryland,B10,+20.60,113.4,92.8,66.4,+0.99,102.8,101.8
2023,Iowa,B10,+20.43,116.3,95.8,70.0,+4.06,103.2,99.2
2023,Ohio St.,B10,+20.27,117.4,97.1,66.6,+1.84,101.8,99.9
2023,Creighton,BE,+19.64,112.3,92.7,68.6,+5.00,104.7,99.8
2023,Saint Mary's,WCC,+19.26,107.2,87.9,64.5,+2.87,103.2,100.4
2023,North Carolina,ACC,+19.03,114.7,95.7,68.1,+10.12,106.5,96.4
2023,West Virginia,B12,+18.94,111.6,92.7,68.3,+3.70,105.1,101.4
2023,Mississippi St.,SEC,+18.80,107.1,88.3,63.3,-7.14,98.6,105.7
2023,Rutgers,B10,+18.35,105.8,87.5,67.4,+0.58,102.9,102.3
2023,San Diego St.,MWC,+18.22,108.9,90.7,69.6,+9.29,106.8,97.5
2023,Xavier,BE,+17.78,115.1,97.3,71.7,+5.84,104.8,99.0
2023,Memphis,Amer,+17.78,108.4,90.6,68.6,+4.77,104.2,99.4
2023,Virginia Tech,ACC,+17.68,113.5,95.8,65.9,-3.44,100.5,103.9
2023,Texas Tech,B12,+16.91,108.4,91.5,66.0,-1.68,101.6,103.3
2023,Oklahoma,B12,+16.84,109.9,93.1,63.6,+1.17,101.8,100.6
2023,Oklahoma St.,B12,+16.64,108.5,91.8,68.3,+0.03,100.8,100.8
2023,TCU,B12,+15.80,106.7,90.9,69.9,-10.88,96.9,107.8
2023,Marquette,BE,+15.60,111.6,96.0,71.4,-0.21,101.9,102.1
2023,Michigan St.,B10,+15.52,110.6,95.1,66.1,+14.08,110.4,96.3
2023,UAB,CUSA,+15.44,112.0,96.6,74.3,-4.22,99.3,103.5
2023,Utah,P12,+15.38,107.5,92.1,67.7,-1.70,100.4,102.1
2023,Arizona St.,P12,+15.37,105.5,90.1,67.8,+0.50,100.9,100.4
2023,Oregon,P12,+15.29,111.1,95.8,66.1,+11.16,107.0,95.9
2023,Wisconsin,B10,+15.25,106.0,90.7,63.9,+7.58,105.7,98.1
2023,St. John's,BE,+15.19,108.9,93.7,74.8,-4.72,98.2,102.9
2023,Miami FL,ACC,+15.08,113.5,98.5,68.7,-0.81,100.0,100.8
2023,Michigan,B10,+15.04,112.9,97.9,69.1,+3.34,103.4,100.0
2023,Utah St.,MWC,+14.97,111.6,96.6,71.0,+1.28,103.5,102.2
2023,Penn St.,B10,+14.57,109.9,95.3,65.9,+3.41,105.1,101.7
2023,Florida Atlantic,CUSA,+14.38,110.8,96.4,68.0,-1.05,103.2,104.2
2023,Iowa St.,B12,+14.27,104.2,89.9,66.4,+3.48,104.8,101.3
2023,Missouri,SEC,+14.18,114.1,99.9,74.4,-11.52,96.1,107.6
2023,Colorado,P12,+13.78,107.7,93.9,70.4,+7.51,103.8,96.3
2023,Mississippi,SEC,+13.42,107.8,94.4,65.1,+2.86,103.4,100.5
2023,Florida,SEC,+13.19,108.6,95.4,72.2,+1.21,103.3,102.1
2023,Saint Louis,A10,+13.11,112.7,99.6,70.8,+7.00,104.3,97.3
2023,Villanova,BE,+13.09,113.8,100.7,62.6,+5.54,104.7,99.2
2023,N.C. State,ACC,+12.89,109.5,96.6,71.6,-4.20,100.1,104.3
2023,Clemson,ACC,+12.77,110.4,97.6,67.9,-1.89,101.7,103.6
2023,Kansas St.,B12,+12.64,106.6,94.0,68.3,-0.28,100.5,100.8
2023,Boise St.,MWC,+12.54,104.6,92.1,67.6,+2.71,103.0,100.3
2023,Washington St.,P12,+12.34,106.9,94.6,65.5,+1.22,102.6,101.4
2023,Texas A&M,SEC,+12.31,110.4,98.0,69.6,+1.92,101.8,99.8
2023,LSU,SEC,+12.14,107.2,95.1,69.0,-7.47,97.5,105.0
2023,Northwestern,B10,+11.81,102.7,90.9,65.0,+2.10,103.5,101.4
2023,Seton Hall,BE,+11.67,106.4,94.7,68.8,+4.16,103.5,99.3
2023,Iona,MAAC,+11.54,107.4,95.9,69.7,-0.55,103.1,103.7
2023,Kent St.,MAC,+10.96,105.7,94.8,71.0,+2.24,104.2,102.0
2023,North Texas,CUSA,+10.92,106.4,95.5,59.3,-0.25,100.1,100.4
2023,Stanford,P12,+10.86,105.3,94.4,67.3,+9.82,105.6,95.8
2023,USC,P12,+10.71,105.2,94.5,69.6,-1.73,99.6,101.4
2023,Providence,BE,+10.63,110.0,99.4,67.8,-5.71,98.4,104.1
2023,Cincinnati,Amer,+10.42,108.8,98.4,69.0,-1.83,101.8,103.6
2023,James Madison,SB,+10.24,107.0,96.8,72.9,-0.40,102.2,102.6
2023,UCF,Amer,+10.23,103.4,93.2,62.9,-1.72,101.6,103.3
2023,Drake,MVC,+10.14,108.0,97.8,66.9,-4.72,100.1,104.8
2023,Wake Forest,ACC,+9.95,108.0,98.1,70.2,-1.30,100.6,101.9
2023,UNLV,MWC,+9.86,102.7,92.9,71.4,-2.97,99.7,102.6
2023,Dayton,A10,+9.73,103.9,94.2,63.3,-0.17,101.4,101.5
2023,Notre Dame,ACC,+9.59,111.8,102.2,63.5,-4.29,100.5,104.7
2023,Syracuse,ACC,+9.55,107.0,97.5,65.3,+1.03,103.5,102.5
2023,Pittsburgh,ACC,+9.51,107.5,98.0,67.6,+1.71,103.1,101.4
2023,Nebraska,B10,+9.21,105.9,96.7,66.1,+5.90,104.4,98.5
2023,New Mexico,MWC,+9.14,109.0,99.8,71.7,-3.04,100.7,103.8
2023,Butler,BE,+8.95,106.9,97.9,67.3,+0.62,101.9,101.3
2023,Furman,SC,+8.83,110.1,101.3,69.5,-1.91,101.3,103.2
2023,Nevada,MWC,+8.63,106.2,97.6,66.9,+3.36,103.1,99.8
2023,Wichita St.,Amer,+8.12,102.9,94.8,63.6,+2.09,103.0,100.9
2023,Marshall,SB,+8.03,107.3,99.3,73.0,-7.88,100.2,108.1
2023,Yale,Ivy,+7.66,103.5,95.8,66.3,-2.84,100.0,102.8
2023,Toledo,MAC,+7.42,112.5,105.0,73.4,-2.14,101.1,103.2
2023,Sam Houston St.,WAC,+7.35,101.1,93.8,65.9,+10.80,107.1,96.3
2023,UC Irvine,BW,+7.32,103.6,96.3,68.3,+5.96,104.8,98.8
2023,Temple,Amer,+7.27,106.4,99.1,66.5,+1.47,101.7,100.3
2023,Liberty,ASun,+7.25,107.3,100.0,64.0,-2.83,98.4,101.2
2023,Tulane,Amer,+7.25,108.6,101.3,71.3,-7.22,98.4,105.6
2023,Washington,P12,+7.15,102.2,95.0,69.4,+1.47,102.5,101.0
2023,Towson,CAA,+6.95,108.1,101.1,62.9,-2.03,100.9,103.0
2023,Vanderbilt,SEC,+6.84,105.0,98.2,67.5,+3.15,101.8,98.7
2023,BYU,WCC,+6.74,104.8,98.1,71.3,+1.27,101.6,100.3
2023,Charleston,CAA,+6.62,107.6,101.0,70.9,+2.35,104.0,101.7
2023,Bradley,MVC,+6.61,102.0,95.4,64.7,-0.39,101.1,101.5
2023,Oral Roberts,Sum,+6.61,110.7,104.1,70.4,+15.42,107.9,92.5
2023,DePaul,BE,+6.36,107.1,100.7,68.1,+4.24,104.1,99.9
2023,Southern Illinois,MVC,+6.36,101.5,95.2,64.3,+0.95,101.8,100.8
2023,Colorado St.,MWC,+6.29,107.5,101.2,68.4,-2.88,100.8,103.7
2023,Santa Clara,WCC,+6.24,103.9,97.7,71.6,+1.85,103.2,101.4
2023,Richmond,A10,+6.20,103.4,97.2,64.0,+2.12,104.5,102.4
2023,San Francisco,WCC,+6.09,104.8,98.7,71.8,-2.81,99.5,102.3
2023,Colgate,Pat,+5.94,109.8,103.9,68.5,+0.04,102.2,102.2
2023,Indiana St.,MVC,+5.90,105.6,99.8,73.5,-5.33,99.7,105.0
2023,Western Kentucky,CUSA,+5.71,106.7,101.0,66.3,-3.04,101.0,104.1
2023,Georgia,SEC,+5.60,103.3,97.7,66.0,-7.07,99.1,106.2
2023,Grand Canyon,WAC,+5.58,103.2,97.6,63.5,-0.28,101.2,101.5
2023,UMass Lowell,AE,+5.33,103.5,98.2,71.3,-7.84,96.5,104.3
2023,Princeton,Ivy,+5.24,106.2,101.0,68.1,-4.24,100.0,104.2
2023,Portland,WCC,+4.93,107.2,102.3,70.4,-0.60,102.0,102.6
2023,VCU,A10,+4.88,99.8,94.9,69.4,+2.46,102.0,99.6
2023,Loyola Marymount,WCC,+4.76,105.7,100.9,68.5,+1.40,102.7,101.3
2023,St. Bonaventure,A10,+4.62,102.7,98.0,66.1,-4.76,100.1,104.8
2023,Georgia Tech,ACC,+4.56,103.4,98.8,67.1,+0.80,101.9,101.1
2023,UC Santa Barbara,BW,+4.36,105.1,100.7,65.3,-6.22,100.4,106.6
2023,Fresno St.,MWC,+4.32,101.0,96.7,65.2,+4.92,103.5,98.6
2023,Murray St.,MVC,+4.30,104.1,99.8,67.4,+3.38,104.8,101.5
2023,Utah Valley,WAC,+4.24,103.9,99.7,66.0,+2.57,103.0,100.4
2023,Middle Tennessee,CUSA,+4.23,100.9,96.7,67.9,+1.28,103.7,102.5
2023,Samford,SC,+4.20,108.1,103.9,71.7,-1.91,99.5,101.4
2023,Akron,MAC,+4.09,103.5,99.4,62.9,+5.87,104.4,98.5
2023,Louisiana Tech,CUSA,+3.98,103.8,99.9,70.4,-0.05,101.6,101.6
2023,Duquesne,A10,+3.95,108.2,104.2,66.7,-4.34,101.1,105.4
2023,Hofstra,CAA,+3.90,107.9,104.0,68.6,+7.12,105.2,98.1
2023,George Mason,A10,+3.89,103.4,99.6,64.8,-1.22,102.4,103.6
2023,Wyoming,MWC,+3.68,106.4,102.8,65.2,-4.18,99.4,103.6
2023,New Mexico St.,WAC,+3.55,104.1,100.5,70.7,+2.48,101.9,99.4
2023,Seattle,WAC,+3.41,103.7,100.3,68.9,-0.67,101.9,102.5
2023,Massachusetts,A10,+3.37,102.9,99.6,72.3,-0.13,101.1,101.2
2023,Charlotte,CUSA,+3.34,102.3,99.0,59.5,-3.97,99.9,103.9
2023,Davidson,A10,+3.04,107.0,103.9,66.2,-1.92,101.6,103.5
2023,Jacksonville,ASun,+3.01,102.4,99.4,63.1,+14.91,108.9,93.9
2023,Louisiana,SB,+2.58,105.6,103.0,69.9,-0.50,101.4,101.9
2023,Wofford,SC,+2.38,107.0,104.6,65.9,+0.26,101.3,101.0
2023,Loyola Chicago,A10,+2.21,101.7,99.5,64.0,-3.92,100.5,104.4
2023,Chattanooga,SC,+1.90,106.2,104.3,69.2,+0.44,102.3,101.8
2023,Missouri St.,MVC,+1.78,100.5,98.7,64.4,+2.09,102.3,100.2
2023,Old Dominion,SB,+1.76,102.6,100.8,65.4,-0.65,103.1,103.8
2023,Boston College,ACC,+1.73,100.2,98.4,66.5,-1.20,102.0,103.2
2023,Youngstown St.,Horz,+1.66,107.4,105.7,70.0,-2.49,102.3,104.8
2023,Florida St.,ACC,+1.43,102.5,101.1,71.0,+6.66,105.5,98.8
2023,Belmont,MVC,+1.39,106.8,105.4,70.6,-1.59,101.4,103.0
2023,Troy,SB,+1.38,102.3,101.0,65.9,+5.29,103.8,98.5
2023,Pepperdine,WCC,+1.29,104.8,103.6,72.1,-2.27,101.4,103.7
2023,UNC Wilmington,CAA,+1.26,101.2,100.0,65.1,+10.43,107.0,96.6
2023,Hawaii,BW,+1.20,100.9,99.7,64.3,-7.32,97.3,104.6
2023,Florida Gulf Coast,ASun,+0.93,103.8,102.8,65.8,+2.97,102.8,99.8
2023,Georgetown,BE,+0.85,105.1,104.3,69.0,-4.81,99.0,103.8
2023,Longwood,BSth,+0.77,102.5,101.8,67.2,-5.10,100.6,105.7
2023,Vermont,AE,+0.73,101.7,101.0,65.4,+2.92,101.6,98.7
2023,Long Beach St.,BW,+0.68,101.2,100.5,72.8,+4.69,104.8,100.1
2023,Tarleton St.,WAC,+0.63,100.7,100.0,69.7,+8.69,106.1,97.4
2023,Minnesota,B10,+0.50,101.8,101.3,64.7,+2.13,103.7,101.6
2023,Cal Baptist,WAC,+0.44,100.0,99.5,63.2,-6.06,97.4,103.4
2023,South Alabama,SB,+0.33,100.7,100.4,68.0,+10.94,107.6,96.7
2023,Fordham,A10,+0.12,99.0,98.9,69.9,-11.35,95.8,107.2
2023,South Carolina,SEC,+0.05,99.3,99.3,64.7,+0.38,104.8,104.4
2023,Buffalo,MAC,-0.05,102.2,102.3,74.3,+2.70,103.8,101.1
2023,Cornell,Ivy,-0.16,105.7,105.8,72.8,-3.58,100.5,104.1
2023,South Dakota St.,Sum,-0.18,102.9,103.1,69.5,+9.74,105.7,96.0
2023,UNC Greensboro,SC,-0.29,97.6,97.9,66.9,+2.06,104.4,102.4
2023,Montana St.,BSky,-0.37,101.9,102.2,68.5,+2.62,103.4,100.7
2023,Southern Utah,WAC,-0.49,103.5,104.0,73.6,+2.11,103.3,101.2
2023,Bryant,AE,-0.67,104.7,105.4,74.0,+0.50,102.7,102.3
2023,Quinnipiac,MAAC,-0.77,100.7,101.5,70.0,-6.11,98.5,104.6
2023,Harvard,Ivy,-0.78,99.6,100.4,66.8,-4.28,98.6,102.9
2023,UC Davis,BW,-0.84,99.8,100.7,74.1,-5.41,99.1,104.5
2023,Penn,Ivy,-0.86,105.7,106.5,66.8,+2.27,104.3,102.1
2023,San Diego,WCC,-0.94,105.6,106.5,67.9,-1.81,100.6,102.4
2023,UC Riverside,BW,-0.99,100.9,101.9,67.9,+5.81,104.5,98.7
2023,Lipscomb,ASun,-1.01,104.1,105.2,67.4,-0.18,104.3,104.5
2023,Southern Miss,SB,-1.02,100.3,101.3,66.1,+0.76,103.1,102.3
2023,Stephen F. Austin,WAC,-1.15,101.9,103.1,71.0,-3.67,98.8,102.4
2023,Air Force,MWC,-1.19,99.6,100.8,63.3,-11.66,97.0,108.7
2023,Purdue Fort Wayne,Horz,-1.48,98.1,99.6,71.2,-2.61,102.1,104.7
2023,SMU,Amer,-1.52,99.0,100.5,67.5,-3.14,99.7,102.8
2023,Gardner Webb,BSth,-1.60,97.0,98.6,66.0,+3.27,105.4,102.2
2023,South Florida,Amer,-1.65,98.8,100.5,64.7,-5.78,99.7,105.5
2023,Northern Iowa,MVC,-1.74,100.1,101.8,66.9,-2.01,100.4,102.4
