Rk,Year,Team,Conf,NetRtg,Ortg,DRtg,AdjT,,,,,,,,,,
1,2025,Auburn,SEC,31.61,127.2,95.6,67.8,,,,,,,,,,
2,2025,Tennessee,SEC,31.09,120.4,89.3,66,,,,,,,,,,
3,2025,Duke,ACC,30.44,119.3,88.9,66.9,,,,,,,,,,
4,2025,Gonzaga,WCC,29.68,125,95.3,69.3,,,,,,,,,,
5,2025,Houston,B12,29.47,119.6,90.2,62.9,,,,,,,,,,
6,2025,Iowa St.,B12,27.79,121.1,93.3,69.4,,,,,,,,,,
7,2025,Alabama,SEC,25.32,122.2,96.9,73.6,,,,,,,,,,
8,2025,Florida,SEC,25.3,121.5,96.2,69,,,,,,,,,,
9,2025,Kansas,B12,24.98,118.4,93.4,69.4,,,,,,,,,,
10,2025,Kentucky,SEC,24.91,120.3,95.4,72.2,,,,,,,,,,
11,2025,Marquette,BE,24.9,118.7,93.8,69.4,,,,,,,,,,
12,2025,Mississippi St.,SEC,22.72,118.3,95.6,68.9,,,,,,,,,,
13,2025,Cincinnati,B12,22.6,116.1,93.4,65.5,,,,,,,,,,
14,2025,Oregon,B10,22.06,117,94.9,68.1,,,,,,,,,,
15,2025,Purdue,B10,21.8,119.9,98.1,64.8,,,,,,,,,,
16,2025,Clemson,ACC,21.79,114.7,92.9,65.1,,,,,,,,,,
17,2025,Maryland,B10,21.75,114.7,93,69.3,,,,,,,,,,
18,2025,St. John's,BE,21.75,115.7,94,69.9,,,,,,,,,,
19,2025,Illinois,B10,21.72,116,94.3,71.2,,,,,,,,,,
20,2025,Texas Tech,B12,21.36,118.1,96.7,66.5,,,,,,,,,,
21,2025,Michigan St.,B10,21.32,115.8,94.5,68,,,,,,,,,,
22,2025,Michigan,B10,21.15,114.4,93.2,69.4,,,,,,,,,,
23,2025,UCLA,B10,21.02,112.9,91.9,66.4,,,,,,,,,,
24,2025,Baylor,B12,20.81,120.9,100.1,65.5,,,,,,,,,,
25,2025,Connecticut,BE,20.47,121.5,101,65.3,,,,,,,,,,
26,2025,Texas A&M,SEC,20.25,114.1,93.9,67,,,,,,,,,,
27,2025,Mississippi,SEC,19.76,119.2,99.4,67.3,,,,,,,,,,
28,2025,Ohio St.,B10,19.71,116.8,97.1,68.2,,,,,,,,,,
29,2025,Arizona,B12,19.59,116.7,97.1,72.3,,,,,,,,,,
30,2025,Pittsburgh,ACC,19.59,116.2,96.6,68.1,,,,,,,,,,
31,2025,North Carolina,ACC,19.45,116.7,97.2,73.7,,,,,,,,,,
32,2025,Dayton,A10,19.13,119.1,100,66.2,,,,,,,,,,
33,2025,Penn St.,B10,19.06,116.1,97.1,72.1,,,,,,,,,,
34,2025,Memphis,Amer,19,117.1,98.1,69.2,,,,,,,,,,
35,2025,Texas,SEC,18.7,112.9,94.2,67,,,,,,,,,,
36,2025,Saint Mary's,WCC,18.42,114.5,96.1,64.3,,,,,,,,,,
37,2025,Wisconsin,B10,17.49,117.5,100,67.8,,,,,,,,,,
38,2025,San Diego St.,MWC,17.47,110.6,93.1,66.4,,,,,,,,,,
39,2025,Georgia,SEC,17.45,113.3,95.9,67.3,,,,,,,,,,
40,2025,Creighton,BE,16.58,113.4,96.9,69.5,,,,,,,,,,
41,2025,VCU,A10,16.48,110.7,94.2,67.5,,,,,,,,,,
42,2025,Oklahoma,SEC,16.27,114.9,98.6,67.7,,,,,,,,,,
43,2025,Villanova,BE,16.25,118.4,102.1,64.4,,,,,,,,,,
44,2025,Indiana,B10,16.06,113.8,97.7,70.8,,,,,,,,,,
45,2025,Arkansas,SEC,15.94,110.6,94.6,69.9,,,,,,,,,,
46,2025,Iowa,B10,15.82,115.7,99.9,72.2,,,,,,,,,,
47,2025,BYU,B12,15.52,115.9,100.4,68.8,,,,,,,,,,
48,2025,LSU,SEC,15.1,112.7,97.6,68.4,,,,,,,,,,
49,2025,Utah St.,MWC,14.83,114.2,99.3,69.4,,,,,,,,,,
50,2025,Arizona St.,B12,14.51,112.2,97.7,68.6,,,,,,,,,,
51,2025,SMU,ACC,14.48,116.2,101.7,69.3,,,,,,,,,,
52,2025,Louisville,ACC,14.47,110.5,96,69.1,,,,,,,,,,
53,2025,UC Irvine,BW,14.45,107.6,93.1,69.6,,,,,,,,,,
54,2025,Boise St.,MWC,14.36,114.4,100,68.4,,,,,,,,,,
55,2025,Nevada,MWC,14.21,113.4,99.2,64.1,,,,,,,,,,
56,2025,West Virginia,B12,14.11,111,96.8,66.4,,,,,,,,,,
57,2025,San Francisco,WCC,14.1,111.6,97.5,67.2,,,,,,,,,,
58,2025,Northwestern,B10,13.98,109.2,95.2,64.9,,,,,,,,,,
59,2025,Missouri,SEC,13.28,114.9,101.7,69.1,,,,,,,,,,
60,2025,Nebraska,B10,12.73,109.4,96.7,69.8,,,,,,,,,,
61,2025,Butler,BE,12.56,112.3,99.8,67.8,,,,,,,,,,
62,2025,Liberty,CUSA,12.45,109.3,96.9,63.7,,,,,,,,,,
63,2025,Utah,B12,12.3,111.2,98.9,70.7,,,,,,,,,,
64,2025,Vanderbilt,SEC,12.05,114.4,102.4,70.5,,,,,,,,,,
65,2025,Xavier,BE,11.93,111.6,99.7,69.2,,,,,,,,,,
66,2025,Florida St.,ACC,11.77,109.3,97.5,70.8,,,,,,,,,,
67,2025,Bradley,MVC,11.49,114.7,103.2,65.9,,,,,,,,,,
68,2025,South Carolina,SEC,11.41,110.6,99.2,66.3,,,,,,,,,,
69,2025,N.C. State,ACC,11.33,110.9,99.6,66.5,,,,,,,,,,
70,2025,North Texas,Amer,11.26,105.5,94.3,64.3,,,,,,,,,,
71,2025,Kansas St.,B12,11.15,110.2,99,69.1,,,,,,,,,,
72,2025,Oregon St.,WCC,10.9,110.9,100,64.4,,,,,,,,,,
73,2025,New Mexico,MWC,10.69,111.4,100.7,74.2,,,,,,,,,,
74,2025,Rutgers,B10,10.53,111.7,101.2,70.3,,,,,,,,,,
75,2025,Washington St.,WCC,10.35,108.4,98,71.2,,,,,,,,,,
76,2025,Drake,MVC,9.98,107.8,97.9,64.1,,,,,,,,,,
77,2025,Colorado,B12,9.66,108.3,98.6,68,,,,,,,,,,
78,2025,George Mason,A10,9.62,107.3,97.7,66.2,,,,,,,,,,
79,2025,UCF,B12,9.59,108.7,99.1,70.2,,,,,,,,,,
80,2025,Notre Dame,ACC,9.48,111.3,101.8,65.5,,,,,,,,,,
81,2025,Providence,BE,9.44,108.9,99.5,64,,,,,,,,,,
82,2025,TCU,B12,9.41,106.3,96.9,68.3,,,,,,,,,,
83,2025,Stanford,ACC,9.41,112.8,103.4,67,,,,,,,,,,
84,2025,Rhode Island,A10,9.31,110.3,101,71.8,,,,,,,,,,
85,2025,Loyola Chicago,A10,9.28,108.6,99.3,68,,,,,,,,,,
86,2025,St. Bonaventure,A10,8.74,106.7,98,65.3,,,,,,,,,,
87,2025,UC San Diego,BW,8.72,110.5,101.8,66.6,,,,,,,,,,
88,2025,Santa Clara,WCC,8.67,109.9,101.3,68.4,,,,,,,,,,
89,2025,Wichita St.,Amer,8.6,108.6,100,71.3,,,,,,,,,,
90,2025,Georgetown,BE,8.55,108.5,100,69.5,,,,,,,,,,
91,2025,Grand Canyon,WAC,8.13,109.8,101.6,71.8,,,,,,,,,,
92,2025,Oklahoma St.,B12,8.12,108,99.8,72,,,,,,,,,,
93,2025,Saint Joseph's,A10,7.9,108.6,100.7,69.5,,,,,,,,,,
94,2025,USC,B10,7.85,109.4,101.5,67.4,,,,,,,,,,
95,2025,McNeese,Slnd,7.68,110.2,102.5,65.7,,,,,,,,,,
96,2025,Lipscomb,ASun,7.25,107.8,100.5,67.6,,,,,,,,,,
97,2025,DePaul,BE,7.12,110,102.9,67.8,,,,,,,,,,
98,2025,Yale,Ivy,7.06,112.8,105.7,67.9,,,,,,,,,,
99,2025,Miami FL,ACC,6.87,116.1,109.2,65.8,,,,,,,,,,
100,2025,Florida Atlantic,Amer,6.85,113.3,106.5,71.2,,,,,,,,,,
101,2025,Georgia Tech,ACC,6.56,107.6,101,70.6,,,,,,,,,,
102,2025,Syracuse,ACC,6.32,110.5,104.1,70.4,,,,,,,,,,
103,2025,Louisiana Tech,CUSA,6.31,109.3,102.9,66.6,,,,,,,,,,
104,2025,Colorado St.,MWC,6.28,105.2,98.9,68.1,,,,,,,,,,
105,2025,Washington,B10,6.23,105.5,99.3,68.4,,,,,,,,,,
106,2025,Virginia,ACC,6.13,104.5,98.4,61.7,,,,,,,,,,
107,2025,Wake Forest,ACC,6.01,103.4,97.4,66.7,,,,,,,,,,
108,2025,Northern Iowa,MVC,5.91,109.2,103.3,65.3,,,,,,,,,,
109,2025,Princeton,Ivy,5.9,111.8,105.9,67.5,,,,,,,,,,
110,2025,Murray St.,MVC,5.79,108.9,103.1,66,,,,,,,,,,
111,2025,UNLV,MWC,5.77,110.1,104.3,66.2,,,,,,,,,,
112,2025,Minnesota,B10,5.57,105.6,100,62.2,,,,,,,,,,
113,2025,Western Kentucky,CUSA,5.08,104.2,99.2,72.6,,,,,,,,,,
114,2025,Kent St.,MAC,4.57,103.1,98.5,64.5,,,,,,,,,,
115,2025,Furman,SC,4.45,104.8,100.4,66.6,,,,,,,,,,
116,2025,South Dakota St.,Sum,4.35,106.7,102.3,69.8,,,,,,,,,,
117,2025,California,ACC,3.7,110.8,107.1,69.9,,,,,,,,,,
118,2025,Davidson,A10,3.66,109.3,105.7,67.9,,,,,,,,,,
119,2025,Troy,SB,3.43,105.8,102.4,68.3,,,,,,,,,,
120,2025,Akron,MAC,3.26,110.7,107.5,69.2,,,,,,,,,,
121,2025,Samford,SC,3.2,113.5,110.3,72.2,,,,,,,,,,
122,2025,James Madison,SB,3.19,108,104.9,66.3,,,,,,,,,,
123,2025,UC Santa Barbara,BW,3.16,109,105.8,65.5,,,,,,,,,,
124,2025,East Tennessee St.,SC,2.86,108.6,105.7,67.8,,,,,,,,,,
125,2025,UMass Lowell,AE,2.84,110.3,107.4,72.1,,,,,,,,,,
126,2025,Texas St.,SB,2.82,105.6,102.8,65.9,,,,,,,,,,
127,2025,High Point,BSth,2.75,113.1,110.3,65.1,,,,,,,,,,
128,2025,Montana St.,BSky,2.74,107.7,104.9,66.2,,,,,,,,,,
129,2025,Arkansas St.,SB,2.67,104.4,101.8,69.4,,,,,,,,,,
130,2025,Purdue Fort Wayne,Horz,2.63,111.5,108.9,68.2,,,,,,,,,,
131,2025,Wright St.,Horz,2.5,109.2,106.7,67.3,,,,,,,,,,
132,2025,Sam Houston St.,CUSA,2.43,110.3,107.9,69.2,,,,,,,,,,
133,2025,Seton Hall,BE,2.39,97.2,94.8,63,,,,,,,,,,
134,2025,St. Thomas,Sum,2.36,110.1,107.8,68.3,,,,,,,,,,
135,2025,UAB,Amer,2.35,111,108.6,69.6,,,,,,,,,,
136,2025,Seattle,WAC,2.35,107.4,105,66.7,,,,,,,,,,
137,2025,Middle Tennessee,CUSA,2.3,106.1,103.8,68.4,,,,,,,,,,
138,2025,UNC Wilmington,CAA,2,106.2,104.2,67.5,,,,,,,,,,
139,2025,UNC Greensboro,SC,1.86,103.4,101.5,64.6,,,,,,,,,,
140,2025,Temple,Amer,1.84,108.3,106.4,69,,,,,,,,,,
141,2025,Belmont,MVC,1.67,109.7,108.1,71.1,,,,,,,,,,
142,2025,Charleston,CAA,1.39,106.3,105,70,,,,,,,,,,
143,2025,Norfolk St.,MEAC,1.38,106.8,105.4,65.5,,,,,,,,,,
144,2025,Northeastern,CAA,1.35,103.4,102.1,68,,,,,,,,,,
145,2025,Elon,CAA,1.29,106.2,104.9,65.8,,,,,,,,,,
146,2025,George Washington,A10,1.12,106,104.9,69.3,,,,,,,,,,
147,2025,East Carolina,Amer,1.11,106.2,105.1,64.8,,,,,,,,,,
148,2025,South Florida,Amer,1.07,106.3,105.3,69.4,,,,,,,,,,
149,2025,Wofford,SC,0.96,109.6,108.6,65.1,,,,,,,,,,
150,2025,UTEP,CUSA,0.93,103.1,102.2,69.6,,,,,,,,,,
151,2025,Virginia Tech,ACC,0.82,102.8,102,65.4,,,,,,,,,,
152,2025,La Salle,A10,0.75,104.7,103.9,71,,,,,,,,,,
153,2025,Boston College,ACC,0.73,104.5,103.8,67.1,,,,,,,,,,
154,2025,Saint Louis,A10,0.69,108.5,107.8,69.9,,,,,,,,,,
155,2025,Cornell,Ivy,0.65,108.2,107.5,71.2,,,,,,,,,,
156,2025,CSUN,BW,0.64,104.1,103.4,72.5,,,,,,,,,,
157,2025,Columbia,Ivy,0.1,109.2,109.1,68.6,,,,,,,,,,
158,2025,Loyola Marymount,WCC,0.05,104.1,104.1,67.5,,,,,,,,,,
159,2025,Ohio,MAC,-0.13,109.3,109.5,70,,,,,,,,,,
160,2025,Appalachian St.,SB,-0.18,102.9,103.1,64.5,,,,,,,,,,
161,2025,Kennesaw St.,CUSA,-0.31,104.8,105.1,71.7,,,,,,,,,,
162,2025,Radford,BSth,-0.31,107.2,107.5,65,,,,,,,,,,
163,2025,Milwaukee,Horz,-0.45,107.2,107.7,68.4,,,,,,,,,,
164,2025,Winthrop,BSth,-0.7,105.3,106,72.3,,,,,,,,,,
165,2025,North Dakota St.,Sum,-0.71,110.2,110.9,64.8,,,,,,,,,,
166,2025,Rice,Amer,-0.86,101.8,102.7,66.4,,,,,,,,,,
167,2025,Northern Colorado,BSky,-0.93,106.7,107.7,70.9,,,,,,,,,,
168,2025,Abilene Christian,WAC,-0.95,104.7,105.7,67.5,,,,,,,,,,
169,2025,Texas A&M Corpus Chris,Slnd,-1.07,105.7,106.8,69.9,,,,,,,,,,
170,2025,Hofstra,CAA,-1.12,101.9,103,65.1,,,,,,,,,,
171,2025,Miami OH,MAC,-1.15,103.7,104.8,68.3,,,,,,,,,,
172,2025,Jacksonville St.,CUSA,-1.17,106.5,107.7,66,,,,,,,,,,
173,2025,Jacksonville,ASun,-1.21,103.3,104.5,68.5,,,,,,,,,,
174,2025,Florida Gulf Coast,ASun,-1.26,104.6,105.9,64.1,,,,,,,,,,
175,2025,North Florida,ASun,-1.27,110.5,111.8,70.5,,,,,,,,,,
176,2025,Marshall,SB,-1.3,103.8,105.1,70.5,,,,,,,,,,
177,2025,Cal Baptist,WAC,-1.33,107.4,108.7,65.5,,,,,,,,,,
178,2025,UT Arlington,WAC,-1.36,107.8,109.2,70.9,,,,,,,,,,
179,2025,Illinois St.,MVC,-1.37,106.6,108,66.2,,,,,,,,,,
180,2025,UC Davis,BW,-1.44,98.4,99.9,71.5,,,,,,,,,,
181,2025,UC Riverside,BW,-1.48,104.2,105.7,68,,,,,,,,,,
182,2025,Bryant,AE,-1.52,104.5,106,73.1,,,,,,,,,,
183,2025,Southern Illinois,MVC,-1.54,102.2,103.7,70.3,,,,,,,,,,
184,2025,Oakland,Horz,-1.56,102.6,104.2,63.2,,,,,,,,,,
185,2025,Montana,BSky,-1.85,105.5,107.4,69.2,,,,,,,,,,
186,2025,Central Michigan,MAC,-1.93,101.9,103.8,68.1,,,,,,,,,,
